Datetime,Resolution code,Elia Grid Load
2025-03-31T18:15:00+02:00,PT15M,5486.896
2025-03-31T18:00:00+02:00,PT15M,5159.539
2025-03-31T17:45:00+02:00,PT15M,4626.551
2025-03-31T17:30:00+02:00,PT15M,4246.747
2025-03-31T17:15:00+02:00,PT15M,3778.162
2025-03-31T17:00:00+02:00,PT15M,3409.901
2025-03-31T16:45:00+02:00,PT15M,2973.773
2025-03-31T16:30:00+02:00,PT15M,2710.234
2025-03-31T16:15:00+02:00,PT15M,2494.375
2025-03-31T16:00:00+02:00,PT15M,2300.705
2025-03-31T15:45:00+02:00,PT15M,2060.8
2025-03-31T15:30:00+02:00,PT15M,1974.298
2025-03-31T15:15:00+02:00,PT15M,1804.057
2025-03-31T15:00:00+02:00,PT15M,1632.906
2025-03-31T14:45:00+02:00,PT15M,1660.148
2025-03-31T14:30:00+02:00,PT15M,1667.886
2025-03-31T14:15:00+02:00,PT15M,1606.392
2025-03-31T14:00:00+02:00,PT15M,1687.626
2025-03-31T13:45:00+02:00,PT15M,1801.939
2025-03-31T13:30:00+02:00,PT15M,2005.741
2025-03-31T13:15:00+02:00,PT15M,2142.72
2025-03-31T13:00:00+02:00,PT15M,2319.968
2025-03-31T12:45:00+02:00,PT15M,2573.851
2025-03-31T12:30:00+02:00,PT15M,2816.178
2025-03-31T12:15:00+02:00,PT15M,2976.905
2025-03-31T12:00:00+02:00,PT15M,3342.863
2025-03-31T11:45:00+02:00,PT15M,3871.761
2025-03-31T11:30:00+02:00,PT15M,4165.305
2025-03-31T11:15:00+02:00,PT15M,4410.184
2025-03-31T11:00:00+02:00,PT15M,4821.748
2025-03-31T10:45:00+02:00,PT15M,5326.492
2025-03-31T10:30:00+02:00,PT15M,5690.764
2025-03-31T10:15:00+02:00,PT15M,6174.608
2025-03-31T10:00:00+02:00,PT15M,6558.263
2025-03-31T09:45:00+02:00,PT15M,6948.959
2025-03-31T09:30:00+02:00,PT15M,7204.184
2025-03-31T09:15:00+02:00,PT15M,7426.291
2025-03-31T09:00:00+02:00,PT15M,7573.949
2025-03-31T08:45:00+02:00,PT15M,7766.014
2025-03-31T08:30:00+02:00,PT15M,7797.776
2025-03-31T08:15:00+02:00,PT15M,7874.849
2025-03-31T08:00:00+02:00,PT15M,7841.948
2025-03-31T07:45:00+02:00,PT15M,7739.399
2025-03-31T07:30:00+02:00,PT15M,7700.532
2025-03-31T07:15:00+02:00,PT15M,7538.76
2025-03-31T07:00:00+02:00,PT15M,7411.772
2025-03-31T06:45:00+02:00,PT15M,7100.956
2025-03-31T06:30:00+02:00,PT15M,6975.64
2025-03-31T06:15:00+02:00,PT15M,6878.875
2025-03-31T06:00:00+02:00,PT15M,6647.865
2025-03-31T05:45:00+02:00,PT15M,6464.273
2025-03-31T05:30:00+02:00,PT15M,6351.074
2025-03-31T05:15:00+02:00,PT15M,6241.361
2025-03-31T05:00:00+02:00,PT15M,6178.897
2025-03-31T04:45:00+02:00,PT15M,6009.609
2025-03-31T04:30:00+02:00,PT15M,5926.547
2025-03-31T04:15:00+02:00,PT15M,5970.41
2025-03-31T04:00:00+02:00,PT15M,5873.439
2025-03-31T03:45:00+02:00,PT15M,5819.645
2025-03-31T03:30:00+02:00,PT15M,5870.793
2025-03-31T03:15:00+02:00,PT15M,5769.402
2025-03-31T03:00:00+02:00,PT15M,5708.854
2025-03-31T02:45:00+02:00,PT15M,5688.16
2025-03-31T02:30:00+02:00,PT15M,5641.547
2025-03-31T02:15:00+02:00,PT15M,5702.124
2025-03-31T02:00:00+02:00,PT15M,5757.069
2025-03-31T01:45:00+02:00,PT15M,5751.605
2025-03-31T01:30:00+02:00,PT15M,5806.751
2025-03-31T01:15:00+02:00,PT15M,5887.646
2025-03-31T01:00:00+02:00,PT15M,6009.45
2025-03-31T00:45:00+02:00,PT15M,6123.804
2025-03-31T00:30:00+02:00,PT15M,6189.484
2025-03-31T00:15:00+02:00,PT15M,6202.668
2025-03-31T00:00:00+02:00,PT15M,6272.079
2025-03-30T23:45:00+02:00,PT15M,6551.476
2025-03-30T23:30:00+02:00,PT15M,6560.217
2025-03-30T23:15:00+02:00,PT15M,6642.293
2025-03-30T23:00:00+02:00,PT15M,6732.894
2025-03-30T22:45:00+02:00,PT15M,6969.605
2025-03-30T22:30:00+02:00,PT15M,7168.396
2025-03-30T22:15:00+02:00,PT15M,7297.132
2025-03-30T22:00:00+02:00,PT15M,7145.079
2025-03-30T21:45:00+02:00,PT15M,7079.89
2025-03-30T21:30:00+02:00,PT15M,7067.714
2025-03-30T21:15:00+02:00,PT15M,7077.839
2025-03-30T21:00:00+02:00,PT15M,7083.75
2025-03-30T20:45:00+02:00,PT15M,7156.864
2025-03-30T20:30:00+02:00,PT15M,7168.182
2025-03-30T20:15:00+02:00,PT15M,7072.438
2025-03-30T20:00:00+02:00,PT15M,6956.771
2025-03-30T19:45:00+02:00,PT15M,6772.522
2025-03-30T19:30:00+02:00,PT15M,6678.36
2025-03-30T19:15:00+02:00,PT15M,6571.509
2025-03-30T19:00:00+02:00,PT15M,6324.995
2025-03-30T18:45:00+02:00,PT15M,5915.917
2025-03-30T18:30:00+02:00,PT15M,5707.34
2025-03-30T18:15:00+02:00,PT15M,5215.522
2025-03-30T18:00:00+02:00,PT15M,4804.142
2025-03-30T17:45:00+02:00,PT15M,4229.269
2025-03-30T17:30:00+02:00,PT15M,4183.161
2025-03-30T17:15:00+02:00,PT15M,3734.539
2025-03-30T17:00:00+02:00,PT15M,3145.054
2025-03-30T16:45:00+02:00,PT15M,2710.541
2025-03-30T16:30:00+02:00,PT15M,2566.808
2025-03-30T16:15:00+02:00,PT15M,2244.031
2025-03-30T16:00:00+02:00,PT15M,2088.724
2025-03-30T15:45:00+02:00,PT15M,1987.722
2025-03-30T15:30:00+02:00,PT15M,1937.512
2025-03-30T15:15:00+02:00,PT15M,1765.324
2025-03-30T15:00:00+02:00,PT15M,1758.176
2025-03-30T14:45:00+02:00,PT15M,1793.984
2025-03-30T14:30:00+02:00,PT15M,1688.519
2025-03-30T14:15:00+02:00,PT15M,1866.113
2025-03-30T14:00:00+02:00,PT15M,2197.134
2025-03-30T13:45:00+02:00,PT15M,2682.97
2025-03-30T13:30:00+02:00,PT15M,2804.13
2025-03-30T13:15:00+02:00,PT15M,2843.594
2025-03-30T13:00:00+02:00,PT15M,2996.143
2025-03-30T12:45:00+02:00,PT15M,3206.307
2025-03-30T12:30:00+02:00,PT15M,3275.797
2025-03-30T12:15:00+02:00,PT15M,3453.059
2025-03-30T12:00:00+02:00,PT15M,3703.305
2025-03-30T11:45:00+02:00,PT15M,3998.491
2025-03-30T11:30:00+02:00,PT15M,4181.427
2025-03-30T11:15:00+02:00,PT15M,4351.693
2025-03-30T11:00:00+02:00,PT15M,4650.575
2025-03-30T10:45:00+02:00,PT15M,4964.521
2025-03-30T10:30:00+02:00,PT15M,5121.51
2025-03-30T10:15:00+02:00,PT15M,5286.681
2025-03-30T10:00:00+02:00,PT15M,5440.003
2025-03-30T09:45:00+02:00,PT15M,5589.523
2025-03-30T09:30:00+02:00,PT15M,5704.198
2025-03-30T09:15:00+02:00,PT15M,5693.122
2025-03-30T09:00:00+02:00,PT15M,5667.799
2025-03-30T08:45:00+02:00,PT15M,5746.772
2025-03-30T08:30:00+02:00,PT15M,5810.837
2025-03-30T08:15:00+02:00,PT15M,5795.388
2025-03-30T08:00:00+02:00,PT15M,5688.219
2025-03-30T07:45:00+02:00,PT15M,5530.849
2025-03-30T07:30:00+02:00,PT15M,5493.264
2025-03-30T07:15:00+02:00,PT15M,5543.838
2025-03-30T07:00:00+02:00,PT15M,5518.182
2025-03-30T06:45:00+02:00,PT15M,5467.023
2025-03-30T06:30:00+02:00,PT15M,5407.862
2025-03-30T06:15:00+02:00,PT15M,5408.56
2025-03-30T06:00:00+02:00,PT15M,5376.918
2025-03-30T05:45:00+02:00,PT15M,5095.531
2025-03-30T05:30:00+02:00,PT15M,5120.454
2025-03-30T05:15:00+02:00,PT15M,5088.801
2025-03-30T05:00:00+02:00,PT15M,5120.639
2025-03-30T04:45:00+02:00,PT15M,5099.761
2025-03-30T04:30:00+02:00,PT15M,5103.256
2025-03-30T04:15:00+02:00,PT15M,5031.973
2025-03-30T04:00:00+02:00,PT15M,5044.725
2025-03-30T03:45:00+02:00,PT15M,5035.814
2025-03-30T03:30:00+02:00,PT15M,5136.919
2025-03-30T03:15:00+02:00,PT15M,5152.831
2025-03-30T03:00:00+02:00,PT15M,5236.711
2025-03-30T01:45:00+01:00,PT15M,5371.75
2025-03-30T01:30:00+01:00,PT15M,5429.553
2025-03-30T01:15:00+01:00,PT15M,5504.345
2025-03-30T01:00:00+01:00,PT15M,5680.318
2025-03-30T00:45:00+01:00,PT15M,5822.82
2025-03-30T00:30:00+01:00,PT15M,5948.772
2025-03-30T00:15:00+01:00,PT15M,5804.985
2025-03-30T00:00:00+01:00,PT15M,5992.283
2025-03-29T23:45:00+01:00,PT15M,6222.048
2025-03-29T23:30:00+01:00,PT15M,6391.363
2025-03-29T23:15:00+01:00,PT15M,6419.263
2025-03-29T23:00:00+01:00,PT15M,6671.469
2025-03-29T22:45:00+01:00,PT15M,6954.522
2025-03-29T22:30:00+01:00,PT15M,6889.995
2025-03-29T22:15:00+01:00,PT15M,6960.093
2025-03-29T22:00:00+01:00,PT15M,7152.579
2025-03-29T21:45:00+01:00,PT15M,7303.281
2025-03-29T21:30:00+01:00,PT15M,7401.996
2025-03-29T21:15:00+01:00,PT15M,7537.656
2025-03-29T21:00:00+01:00,PT15M,7727.624
2025-03-29T20:45:00+01:00,PT15M,7819.807
2025-03-29T20:30:00+01:00,PT15M,8000.533
2025-03-29T20:15:00+01:00,PT15M,8058.968
2025-03-29T20:00:00+01:00,PT15M,8042.87
2025-03-29T19:45:00+01:00,PT15M,8111.874
2025-03-29T19:30:00+01:00,PT15M,8189.574
2025-03-29T19:15:00+01:00,PT15M,8146.835
2025-03-29T19:00:00+01:00,PT15M,8140.38
2025-03-29T18:45:00+01:00,PT15M,7958.829
2025-03-29T18:30:00+01:00,PT15M,7711.233
2025-03-29T18:15:00+01:00,PT15M,7399.796
2025-03-29T18:00:00+01:00,PT15M,7046.384
2025-03-29T17:45:00+01:00,PT15M,6563.695
2025-03-29T17:30:00+01:00,PT15M,6176.305
2025-03-29T17:15:00+01:00,PT15M,5632.713
2025-03-29T17:00:00+01:00,PT15M,5045.65
2025-03-29T16:45:00+01:00,PT15M,4535.349
2025-03-29T16:30:00+01:00,PT15M,4183.828
2025-03-29T16:15:00+01:00,PT15M,3754.807
2025-03-29T16:00:00+01:00,PT15M,3317.549
2025-03-29T15:45:00+01:00,PT15M,3047.497
2025-03-29T15:30:00+01:00,PT15M,2850.839
2025-03-29T15:15:00+01:00,PT15M,2416.312
2025-03-29T15:00:00+01:00,PT15M,2240.522
2025-03-29T14:45:00+01:00,PT15M,1910.713
2025-03-29T14:30:00+01:00,PT15M,1821.81
2025-03-29T14:15:00+01:00,PT15M,1729.772
2025-03-29T14:00:00+01:00,PT15M,1752.901
2025-03-29T13:45:00+01:00,PT15M,1760.326
2025-03-29T13:30:00+01:00,PT15M,1773.144
2025-03-29T13:15:00+01:00,PT15M,1874.277
2025-03-29T13:00:00+01:00,PT15M,2043.78
2025-03-29T12:45:00+01:00,PT15M,2042.708
2025-03-29T12:30:00+01:00,PT15M,2479.524
2025-03-29T12:15:00+01:00,PT15M,3002.565
2025-03-29T12:00:00+01:00,PT15M,3303.68
2025-03-29T11:45:00+01:00,PT15M,3243.204
2025-03-29T11:30:00+01:00,PT15M,3023.46
2025-03-29T11:15:00+01:00,PT15M,2806.22
2025-03-29T11:00:00+01:00,PT15M,2815.354
2025-03-29T10:45:00+01:00,PT15M,2739.552
2025-03-29T10:30:00+01:00,PT15M,2972.555
2025-03-29T10:15:00+01:00,PT15M,3158.543
2025-03-29T10:00:00+01:00,PT15M,3343.092
2025-03-29T09:45:00+01:00,PT15M,3622.107
2025-03-29T09:30:00+01:00,PT15M,3641.353
2025-03-29T09:15:00+01:00,PT15M,3871.687
2025-03-29T09:00:00+01:00,PT15M,4100.57
2025-03-29T08:45:00+01:00,PT15M,4370.544
2025-03-29T08:30:00+01:00,PT15M,4603.88
2025-03-29T08:15:00+01:00,PT15M,5001.62
